Time,ccj,uec,spread,mvg_avg,mvg_std_dev,upper,lower,long_entry,long_exit,long_positions,short_entry,short_exit,short_positions,positions,percentage_change,strategy_returns,cumulative_returns
2021-01-20,12.4988,1.6,0.42414812088889775,0.14894248935112167,0.29125155335661074,0.44682746805336504,-0.14894248935112167,False,True,0.0,False,False,0.0,0.0,0.0006049738982911287,0.0,2.3030715805201947
2021-01-21,12.2811,1.58,0.3573812693777878,0.18435547148001027,0.3063910402383048,0.5530664144400308,-0.18435547148001027,False,True,0.0,False,False,0.0,0.0,-0.0027584115483022097,-0.0,2.3030715805201947
2021-01-22,12.2415,1.7,-0.5878176215555442,0.1198151942133439,0.4326953638783403,0.3594455826400317,-0.1198151942133439,True,False,1.0,False,True,0.0,1.0,-0.03770115937984659,-0.0,2.3030715805201947
2021-01-25,12.5978,1.69,-0.15605104731110053,0.08938850906223265,0.448626952309917,0.26816552718669795,-0.08938850906223265,True,False,1.0,False,True,0.0,1.0,0.01703110276481336,0.01703110276481336,2.342295429282755
2021-01-26,12.8056,1.75,-0.4010504927777667,-0.07267795427554517,0.450537334274937,-0.2180338628266355,0.07267795427554517,True,False,1.0,False,True,0.0,1.0,-0.009418617798359648,-0.009418617798359648,2.320234243863496
2021-01-27,12.4889,1.64,0.11238182391112161,-0.1350312136711004,0.38075808791646554,-0.40509364101330125,0.1350312136711004,True,True,0.0,True,False,-1.0,-1.0,0.02064844890413369,0.02064844890413369,2.3681434820935325
2021-01-28,12.6571,1.64,0.2805818239111222,-0.15039110276443352,0.35671816558607033,-0.45117330829330055,0.15039110276443352,False,True,0.0,True,False,-1.0,-1.0,0.0067189648262934104,-0.0067189648262934104,2.35223200933373
2021-01-29,12.291,1.63,-0.010051601844432767,-0.03483789882221124,0.2600874372718556,-0.10451369646663372,0.03483789882221124,True,True,0.0,True,False,-1.0,-1.0,-0.011818185422714268,0.011818185422714268,2.3800311233772797
2021-02-01,14.478,1.83,0.6676169132666772,0.1298956932933443,0.3916778822930717,0.3896870798800329,-0.1298956932933443,False,True,0.0,True,False,-1.0,-1.0,0.02395571754784821,-0.02395571754784821,2.323015770030566
2021-02-02,13.528,1.77,0.1704163587333447,0.24418906359556658,0.2588771201069046,0.7325671907866997,-0.24418906359556658,False,False,0.0,False,True,0.0,0.0,-0.01849320294353513,0.01849320294353513,2.365975772106774
2021-02-03,13.528,1.75,0.32134950722223365,0.285982600257789,0.24895609068324068,0.857947800773367,-0.285982600257789,False,True,0.0,False,False,0.0,0.0,0.005645600211966967,0.0,2.365975772106774
2021-02-04,13.3103,1.74,0.17911608146667746,0.2656894517689,0.2535984845324157,0.7970683553067001,-0.2656894517689,False,False,0.0,False,True,0.0,0.0,-0.005379177136721217,-0.0,2.365975772106774
2021-02-05,13.8546,1.82,0.11968348751112146,0.2916364696400109,0.22314072896805828,0.8749094089200327,-0.2916364696400109,False,False,0.0,False,True,0.0,0.0,-0.002154173087036621,-0.0,2.365975772106774
